10753244 ,ISHARES MSCI BRAZIL CAPPED E  ,iShares MSCI Brazil Capped Inde,EWZ
13002510 ,ISHARES MSCI EAFE ETF         ,iShares MSCI EAFE ETF          ,EFA
102194440,US NATURAL GAS FUND LP        ,United States Natural Gas Fund ,UNG
229726197,VANECK VECTORS JUNIOR GOLD M  ,VanEck Vectors Junior Gold Mine,GDXJ
242500577,IPATH S&P 500 VIX S/T FU ETN  ,iPath S&P 500 VIX Short Term Fu,VXX
9579970  ,ISHARES RUSSELL 2000 ETF      ,iShares Russell 2000 ETF       ,IWM
38590758 ,UNITED STATES OIL FUND LP     ,United States Oil Fund         ,USO
202915575,DIREXION DAILY GOLD MINERS I  ,Direxion Daily Gold Miners Inde,NUGT
6604766  ,ISHARES MSCI EMERGING MARKET  ,iShares MSCI Emerging Index Fun,EEM
229726316,VANECK VECTORS GOLD MINERS E  ,VanEck Vectors Gold Miners ETF ,GDX
756733   ,SPDR S&P 500 ETF TRUST        ,SPDR S&P 500                   ,SPY
4215220  ,FINANCIAL SELECT SECTOR SPDR  ,SPDR Select Sector Fund - Finan,XLF
