70083656 ,SCHWAB INTL EQUITY ETF        ,Schwab International Equity ETF,SCHF
59198014 ,JPMORGAN ALERIAN MLP INDEX    ,JPMorgan Chase Capital XVI JP M,AMJ
45555861 ,SPDR EURO STOXX 50 ETF        ,SPDR DJ Euro STOXX 50 Etf      ,FEZ
47649504 ,ISHARES J.P. MORGAN USD EMERGI,iShares J                      ,P. Morgan USD Emergin,EMB
2586548  ,ISHARES MSCI CANADA ETF       ,iShares MSCI Canada Index Fund ,EWC
42922245 ,POWERSHARES DB US DOL IND BU  ,PowerShares DB USD Index Bullis,UUP
10753248 ,ISHARES MSCI SOUTH KOREA CAP  ,iShares MSCI South Korea Capped,EWY
239691934,PROSHARES VIX SHORT-TERM FUT  ,ProShares Trust VIX Short-Term ,VIXY
8991557  ,ISHARES RUSSELL 1000 GROWTH   ,iShares Russell 1000 Growth ETF,IWF
71423629 ,WISDOMTREE EUROPE HEDGED EQU  ,WisdomTree Europe Hedged Equity,HEDJ
136155102,VANGUARD S&P 500 ETF          ,Vanguard S&P 500 ETF           ,VOO
43645828 ,VANGUARD TOTAL BOND MARKET    ,Vanguard Total Bond Market ETF ,BND
43240070 ,VANGUARD FTSE ALL-WORLD EX-U  ,Vanguard FTSE All World Ex US E,VEU
39046954 ,ISHARES U.S. HOME CONSTRUCTI  ,iShares U.S. Home Construction ,ITB
8991562  ,ISHARES RUSSELL 1000 VALUE E  ,iShares Russell 1000 Value ETF ,IWD
40369373 ,POWERSHARES DB COMMODITY IND  ,PowerShares DB Commodity Index ,DBC
12340041 ,VANGUARD TOTAL STOCK MKT ETF  ,Vanguard Total Stock Market ETF,VTI
40413278 ,IPATH S&P GSCI CRUDE OIL TR   ,Barclays Bank Plc iPath Exchang,OIL
2586603  ,ISHARES MSCI GERMANY ETF      ,iShares MSCI Germany Index Fund,EWG
96079929 ,ISHARES EDGE MSCI MIN VOL US  ,iShares Edge MSCI Min Vol USA E,USMV
2586543  ,ISHARES MSCI HONG KONG ETF    ,iShares MSCI Hong Kong Index Fu,EWH
225312863,DRXN DAILY S&P BIOTECH BULL   ,Direxion Daily S&P Biotech Bull,LABU
47194279 ,POWERSHARES PREFERRED PORTFO  ,PowerShares Preferred Portfolio,PGX
49284274 ,WISDOMTREE INDIA EARNINGS     ,WisdomTree India Earnings Fund ,EPI
115826907,ISHARES CORE MSCI EAFE ETF    ,iShares Core MSCI EAFE ETF     ,IEFA
95501103 ,PROSHARES SHORT VIX ST FUTUR  ,ProShares Short VIX Short Term ,SVXY
25985141 ,ISHARES CORE U.S. AGGREGATE   ,iShares Core U.S. Aggregate Bon,AGG
45540769 ,SPDR S&P BANK ETF             ,SPDR S&P Bank ETF              ,KBE
27684070 ,VANGUARD FTSE EUROPE ETF      ,Vanguard FTSEEuropean ETF      ,VGK
73128548 ,SPDR DJIA TRUST               ,SPDR Dow Jones Industrial Avera,DIA
8991352  ,ISHARES CORE S&P 500 ETF      ,iShares Core S&P 500 ETF       ,IVV
41037032 ,ISHARES US PREFERRED STOCK E  ,iShares US Preferred Stock ETF ,PFF
195685436,DRXN DAILY S&P BIOTECH BEAR   ,Direxion Daily S&P Biotech Bear,LABD
2586566  ,ISHARES MSCI MEXICO CAPPED    ,iShares MSCI Mexico Capped Inve,EWW
31230302 ,VANGUARD REIT ETF             ,Vanguard REIT ETF - DNQ        ,VNQ
45540699 ,SPDR S&P METALS & MINING ETF  ,SPDR S&P Metals & Mining ETF   ,XME
4215200  ,MATERIALS SELECT SECTOR SPDR  ,Materials Select Sector SPDR   ,XLB
84894205 ,POWERSHARES SENIOR LOAN       ,PowerShares Exchange-Traded Fun,BKLN
4215215  ,CONSUMER DISCRETIONARY SELT   ,SPDR Select Sector Fund - Consu,XLY
45540784 ,SPDR S&P RETAIL ETF           ,SPDR S&P Retail ETF            ,XRT
15547816 ,ISHARES IBOXX INVESTMENT GRA  ,iShares iBoxx $ Investment Grad,LQD
45540828 ,SPDR S&P BIOTECH ETF          ,SPDR Series Trust  SPDR S&P Bio,XBI
39832875 ,WISDOMTREE JAPAN HEDGED EQ    ,WisdomTree Japan Hedged Equity ,DXJ
115826951,ISHARES CORE MSCI EMERGING    ,iShares Core MSCI Emerging Mark,IEMG
51529211 ,SPDR GOLD SHARES              ,SPDR Gold Trust                ,GLD
242140455,DIREXION DAILY GOLD MINERS I  ,Direxion Daily Gold Miners Inde,DUST
45540822 ,SPDR S&P REGIONAL BANKING     ,SPDR S&P Regional Banking ETF  ,KRE
39039301 ,ISHARES SILVER TRUST          ,iShares Silver Trust           ,SLV
10209369 ,ISHARES US REAL ESTATE ETF    ,iShares U.S. Real Estate ETF   ,IYR
4215205  ,HEALTH CARE SELECT SECTOR     ,SPDR Select Sector Fund - Healt,XLV
78365384 ,ALERIAN MLP ETF               ,Alerian MLP ETF                ,AMLP
45444192 ,VANGUARD FTSE DEVELOPED ETF   ,Vanguard FTSE Developed Markets,VEA
4215230  ,TECHNOLOGY SELECT SECT SPDR   ,SPDR Select Sector Fund - Techn,XLK
32237620 ,ISHARES GOLD TRUST            ,ishares Gold Trust             ,IAU
229726228,VANECK VECTORS RUSSIA ETF     ,VanEck Vectors Russia ETF      ,RSX
4215227  ,INDUSTRIAL SELECT SECT SPDR   ,SPDR Select Sector Fund - Indus,XLI
47549883 ,SPDR BBG BARC HIGH YIELD BND  ,SPDR Bloomberg Barclays High Yi,JNK
43652089 ,ISHARES IBOXX USD HIGH YIELD  ,iShares iBoxx $ High Yield Corp,HYG
4215217  ,ENERGY SELECT SECTOR SPDR     ,SPDR Select Sector Fund - Energ,XLE
45540782 ,SPDR S&P OIL & GAS EXP & PR   ,SPDR S&P Oil & Gas Explor & Pro,XOP
27684033 ,VANGUARD FTSE EMERGING MARKE  ,Vanguard FTSE Emerging Markets ,VWO
4215210  ,CONSUMER STAPLES SPDR         ,SPDR Select Sector Fund - Consu,XLP
4215235  ,UTILITIES SELECT SECTOR SPDR  ,SPDR Select Sector Fund - Utili,XLU
31421120 ,ISHARES CHINA LARGE-CAP ETF   ,iShares China Large-Cap ETF    ,FXI
